"nrcrt","denst","cod","dat","durs","date","NUME","Lon","Lat","time","day_length","fractia"
1,"CONSTANTA",413838,"2021-01-01 00",4.7,"2021-01-01","Constanta",28.6455,44.2138,"2021-01-01 00:00:00",8.94043420566453,0.525701536623596
2,"CONSTANTA",413838,"2021-01-02 00",5.9,"2021-01-02","Constanta",28.6455,44.2138,"2021-01-02 00:00:00",8.95513295034567,0.658840023114594
3,"CONSTANTA",413838,"2021-01-03 00",0,"2021-01-03","Constanta",28.6455,44.2138,"2021-01-03 00:00:00",8.97104394714037,0
4,"CONSTANTA",413838,"2021-01-04 00",0.1,"2021-01-04","Constanta",28.6455,44.2138,"2021-01-04 00:00:00",8.98815123955409,0.0111257584941307
5,"CONSTANTA",413838,"2021-01-05 00",4.4,"2021-01-05","Constanta",28.6455,44.2138,"2021-01-05 00:00:00",9.00643783834246,0.488539429125708
6,"CONSTANTA",413838,"2021-01-06 00",6.3,"2021-01-06","Constanta",28.6455,44.2138,"2021-01-06 00:00:00",9.02588578197691,0.697992435554633
7,"CONSTANTA",413838,"2021-01-07 00",3.1,"2021-01-07","Constanta",28.6455,44.2138,"2021-01-07 00:00:00",9.04647619876597,0.34267486387936
8,"CONSTANTA",413838,"2021-01-08 00",0,"2021-01-08","Constanta",28.6455,44.2138,"2021-01-08 00:00:00",9.06818937149313,0
9,"CONSTANTA",413838,"2021-01-09 00",0,"2021-01-09","Constanta",28.6455,44.2138,"2021-01-09 00:00:00",9.09100480291579,0
10,"CONSTANTA",413838,"2021-01-10 00",0,"2021-01-10","Constanta",28.6455,44.2138,"2021-01-10 00:00:00",9.11490128212505,0
11,"CONSTANTA",413838,"2021-01-11 00",0,"2021-01-11","Constanta",28.6455,44.2138,"2021-01-11 00:00:00",9.13985695209768,0
12,"CONSTANTA",413838,"2021-01-12 00",0,"2021-01-12","Constanta",28.6455,44.2138,"2021-01-12 00:00:00",9.1658493767182,0
13,"CONSTANTA",413838,"2021-01-13 00",0.4,"2021-01-13","Constanta",28.6455,44.2138,"2021-01-13 00:00:00",9.19285560819838,0.0435120507759604
14,"CONSTANTA",413838,"2021-01-14 00",6.4,"2021-01-14","Constanta",28.6455,44.2138,"2021-01-14 00:00:00",9.22085225303968,0.694079009658811
15,"CONSTANTA",413838,"2021-01-15 00",6,"2021-01-15","Constanta",28.6455,44.2138,"2021-01-15 00:00:00",9.24981553839313,0.648661584125202
16,"CONSTANTA",413838,"2021-01-16 00",0.8,"2021-01-16","Constanta",28.6455,44.2138,"2021-01-16 00:00:00",9.27972137583627,0.0862094849187113
17,"CONSTANTA",413838,"2021-01-17 00",6.5,"2021-01-17","Constanta",28.6455,44.2138,"2021-01-17 00:00:00",9.31054542481899,0.698133106431449
