nrcrt,denst,cod,dat,durs
1,CONSTANTA,413838,2021-01-01 00,4.7
2,CONSTANTA,413838,2021-01-02 00,5.9
3,CONSTANTA,413838,2021-01-03 00,0
4,CONSTANTA,413838,2021-01-04 00,0.1
5,CONSTANTA,413838,2021-01-05 00,4.4
6,CONSTANTA,413838,2021-01-06 00,6.3
7,CONSTANTA,413838,2021-01-07 00,3.1
8,CONSTANTA,413838,2021-01-08 00,0
9,CONSTANTA,413838,2021-01-09 00,0
10,CONSTANTA,413838,2021-01-10 00,0
11,CONSTANTA,413838,2021-01-11 00,0
12,CONSTANTA,413838,2021-01-12 00,0
13,CONSTANTA,413838,2021-01-13 00,0.4
14,CONSTANTA,413838,2021-01-14 00,6.4
15,CONSTANTA,413838,2021-01-15 00,6
16,CONSTANTA,413838,2021-01-16 00,0.8
17,CONSTANTA,413838,2021-01-17 00,6.5
18,CONSTANTA,413838,2021-01-18 00,4.9
19,CONSTANTA,413838,2021-01-19 00,6.1
20,CONSTANTA,413838,2021-01-20 00,3.9
21,CONSTANTA,413838,2021-01-21 00,6.8
22,CONSTANTA,413838,2021-01-22 00,5.7
23,CONSTANTA,413838,2021-01-23 00,4.6
24,CONSTANTA,413838,2021-01-24 00,1
25,CONSTANTA,413838,2021-01-25 00,0
26,CONSTANTA,413838,2021-01-26 00,4.5
27,CONSTANTA,413838,2021-01-27 00,0
28,CONSTANTA,413838,2021-01-28 00,6.4
29,CONSTANTA,413838,2021-01-29 00,4.5
30,CONSTANTA,413838,2021-01-30 00,0.1
31,CONSTANTA,413838,2021-01-31 00,7.2
32,CONSTANTA,413838,2021-02-01 00,0.5
33,CONSTANTA,413838,2021-02-02 00,0
34,CONSTANTA,413838,2021-02-03 00,0
35,CONSTANTA,413838,2021-02-04 00,7.8
36,CONSTANTA,413838,2021-02-05 00,5.1
37,CONSTANTA,413838,2021-02-06 00,0
38,CONSTANTA,413838,2021-02-07 00,0
39,CONSTANTA,413838,2021-02-08 00,0.1
40,CONSTANTA,413838,2021-02-09 00,7.3
41,CONSTANTA,413838,2021-02-10 00,8.2
42,CONSTANTA,413838,2021-02-11 00,5.6
43,CONSTANTA,413838,2021-02-12 00,0.6
44,CONSTANTA,413838,2021-02-13 00,8.6
45,CONSTANTA,413838,2021-02-14 00,2.3
46,CONSTANTA,413838,2021-02-15 00,6.2
47,CONSTANTA,413838,2021-02-16 00,6.4
48,CONSTANTA,413838,2021-02-17 00,8.5
49,CONSTANTA,413838,2021-02-18 00,1.7
50,CONSTANTA,413838,2021-02-19 00,6.4
51,CONSTANTA,413838,2021-02-20 00,0
52,CONSTANTA,413838,2021-02-21 00,3.7
53,CONSTANTA,413838,2021-02-22 00,3.9
54,CONSTANTA,413838,2021-02-23 00,2.2
55,CONSTANTA,413838,2021-02-24 00,0
56,CONSTANTA,413838,2021-02-25 00,8.3
57,CONSTANTA,413838,2021-02-26 00,8.8
58,CONSTANTA,413838,2021-02-27 00,8.2
59,CONSTANTA,413838,2021-02-28 00,3.9
60,IASI,710736,2021-01-01 00,1.5
61,IASI,710736,2021-01-02 00,3.7
62,IASI,710736,2021-01-03 00,0.2
63,IASI,710736,2021-01-04 00,0
64,IASI,710736,2021-01-05 00,0
65,IASI,710736,2021-01-06 00,1.3
66,IASI,710736,2021-01-07 00,0.5
67,IASI,710736,2021-01-08 00,0.1
68,IASI,710736,2021-01-09 00,2
69,IASI,710736,2021-01-10 00,6.2
70,IASI,710736,2021-01-11 00,0
71,IASI,710736,2021-01-12 00,0
72,IASI,710736,2021-01-13 00,0
73,IASI,710736,2021-01-14 00,5.7
74,IASI,710736,2021-01-15 00,0
75,IASI,710736,2021-01-16 00,1.6
76,IASI,710736,2021-01-17 00,2.7
77,IASI,710736,2021-01-18 00,0.2
78,IASI,710736,2021-01-19 00,5.6
79,IASI,710736,2021-01-20 00,2.6
80,IASI,710736,2021-01-21 00,6.5
81,IASI,710736,2021-01-22 00,6.5
82,IASI,710736,2021-01-23 00,5.4
83,IASI,710736,2021-01-24 00,3
84,IASI,710736,2021-01-25 00,0
85,IASI,710736,2021-01-26 00,0
86,IASI,710736,2021-01-27 00,0.8
87,IASI,710736,2021-01-28 00,0.4
88,IASI,710736,2021-01-29 00,4.7
89,IASI,710736,2021-01-30 00,4
90,IASI,710736,2021-01-31 00,0
91,IASI,710736,2021-02-01 00,0.2
92,IASI,710736,2021-02-02 00,4.5
93,IASI,710736,2021-02-03 00,7
94,IASI,710736,2021-02-04 00,2.6
95,IASI,710736,2021-02-05 00,3.1
96,IASI,710736,2021-02-06 00,0.1
97,IASI,710736,2021-02-07 00,0
98,IASI,710736,2021-02-08 00,0
99,IASI,710736,2021-02-09 00,0.2
100,IASI,710736,2021-02-10 00,1.9
101,IASI,710736,2021-02-11 00,0
102,IASI,710736,2021-02-12 00,6.8
103,IASI,710736,2021-02-13 00,8.3
104,IASI,710736,2021-02-14 00,1
105,IASI,710736,2021-02-15 00,3.4
106,IASI,710736,2021-02-16 00,6
107,IASI,710736,2021-02-17 00,4.8
108,IASI,710736,2021-02-18 00,0.4
109,IASI,710736,2021-02-19 00,8.6
110,IASI,710736,2021-02-20 00,8.1
111,IASI,710736,2021-02-21 00,7.2
112,IASI,710736,2021-02-22 00,2.5
113,IASI,710736,2021-02-23 00,6.5
114,IASI,710736,2021-02-24 00,2.9
115,IASI,710736,2021-02-25 00,8.5
116,IASI,710736,2021-02-26 00,8.6
117,IASI,710736,2021-02-27 00,0
118,IASI,710736,2021-02-28 00,3.9
119,OC.SUGATAG,747356,2021-01-01 00,0.6
120,OC.SUGATAG,747356,2021-01-02 00,5.8
121,OC.SUGATAG,747356,2021-01-03 00,1.3
122,OC.SUGATAG,747356,2021-01-04 00,0
123,OC.SUGATAG,747356,2021-01-05 00,0
124,OC.SUGATAG,747356,2021-01-06 00,3.4
125,OC.SUGATAG,747356,2021-01-07 00,0
126,OC.SUGATAG,747356,2021-01-08 00,0
127,OC.SUGATAG,747356,2021-01-09 00,3.6
128,OC.SUGATAG,747356,2021-01-10 00,4.8
129,OC.SUGATAG,747356,2021-01-11 00,0
130,OC.SUGATAG,747356,2021-01-12 00,1.4
131,OC.SUGATAG,747356,2021-01-13 00,0
132,OC.SUGATAG,747356,2021-01-14 00,0.5
133,OC.SUGATAG,747356,2021-01-15 00,0.5
134,OC.SUGATAG,747356,2021-01-16 00,3.3
135,OC.SUGATAG,747356,2021-01-17 00,3.4
136,OC.SUGATAG,747356,2021-01-18 00,1
137,OC.SUGATAG,747356,2021-01-19 00,0.1
138,OC.SUGATAG,747356,2021-01-20 00,0
139,OC.SUGATAG,747356,2021-01-21 00,1.8
140,OC.SUGATAG,747356,2021-01-22 00,1.5
141,OC.SUGATAG,747356,2021-01-23 00,0
142,OC.SUGATAG,747356,2021-01-24 00,0.1
143,OC.SUGATAG,747356,2021-01-25 00,0
144,OC.SUGATAG,747356,2021-01-26 00,3
145,OC.SUGATAG,747356,2021-01-27 00,6
146,OC.SUGATAG,747356,2021-01-28 00,0.7
147,OC.SUGATAG,747356,2021-01-29 00,0.2
148,OC.SUGATAG,747356,2021-01-30 00,0.4
149,OC.SUGATAG,747356,2021-01-31 00,0
150,OC.SUGATAG,747356,2021-02-01 00,0.5
151,OC.SUGATAG,747356,2021-02-02 00,0
152,OC.SUGATAG,747356,2021-02-03 00,0.2
153,OC.SUGATAG,747356,2021-02-04 00,0.8
154,OC.SUGATAG,747356,2021-02-05 00,0.8
155,OC.SUGATAG,747356,2021-02-06 00,0
156,OC.SUGATAG,747356,2021-02-07 00,1.1
157,OC.SUGATAG,747356,2021-02-08 00,0
158,OC.SUGATAG,747356,2021-02-09 00,2.6
159,OC.SUGATAG,747356,2021-02-10 00,0.7
160,OC.SUGATAG,747356,2021-02-11 00,0
161,OC.SUGATAG,747356,2021-02-12 00,2
162,OC.SUGATAG,747356,2021-02-13 00,7.3
163,OC.SUGATAG,747356,2021-02-14 00,4.4
164,OC.SUGATAG,747356,2021-02-15 00,2.5
165,OC.SUGATAG,747356,2021-02-16 00,7.9
166,OC.SUGATAG,747356,2021-02-17 00,0.6
167,OC.SUGATAG,747356,2021-02-18 00,5.1
168,OC.SUGATAG,747356,2021-02-19 00,0.1
169,OC.SUGATAG,747356,2021-02-20 00,5.6
170,OC.SUGATAG,747356,2021-02-21 00,8.5
171,OC.SUGATAG,747356,2021-02-22 00,8.9
172,OC.SUGATAG,747356,2021-02-23 00,8.6
173,OC.SUGATAG,747356,2021-02-24 00,5.2
174,OC.SUGATAG,747356,2021-02-25 00,8.7
175,OC.SUGATAG,747356,2021-02-26 00,8.7
176,OC.SUGATAG,747356,2021-02-27 00,2.1
177,OC.SUGATAG,747356,2021-02-28 00,8.6
178,VF. OMU,527527,2021-01-01 00,1.7
179,VF. OMU,527527,2021-01-02 00,1.5
180,VF. OMU,527527,2021-01-03 00,0
181,VF. OMU,527527,2021-01-04 00,2.3
182,VF. OMU,527527,2021-01-05 00,0
183,VF. OMU,527527,2021-01-06 00,3.1
184,VF. OMU,527527,2021-01-07 00,2.4
185,VF. OMU,527527,2021-01-08 00,0.2
186,VF. OMU,527527,2021-01-09 00,0
187,VF. OMU,527527,2021-01-10 00,0.7
188,VF. OMU,527527,2021-01-11 00,0
189,VF. OMU,527527,2021-01-12 00,0
190,VF. OMU,527527,2021-01-13 00,0
191,VF. OMU,527527,2021-01-14 00,0
192,VF. OMU,527527,2021-01-15 00,0
193,VF. OMU,527527,2021-01-16 00,2.8
194,VF. OMU,527527,2021-01-17 00,0
195,VF. OMU,527527,2021-01-18 00,5.1
196,VF. OMU,527527,2021-01-19 00,0
197,VF. OMU,527527,2021-01-20 00,0
198,VF. OMU,527527,2021-01-21 00,3.1
199,VF. OMU,527527,2021-01-22 00,0.2
200,VF. OMU,527527,2021-01-23 00,3
201,VF. OMU,527527,2021-01-24 00,0.6
202,VF. OMU,527527,2021-01-25 00,0
203,VF. OMU,527527,2021-01-26 00,0
204,VF. OMU,527527,2021-01-27 00,0
205,VF. OMU,527527,2021-01-28 00,0
206,VF. OMU,527527,2021-01-29 00,0
207,VF. OMU,527527,2021-01-30 00,0
208,VF. OMU,527527,2021-01-31 00,1.1
209,VF. OMU,527527,2021-02-01 00,0
210,VF. OMU,527527,2021-02-02 00,2.1
211,VF. OMU,527527,2021-02-03 00,6
212,VF. OMU,527527,2021-02-04 00,0
213,VF. OMU,527527,2021-02-05 00,1.5
214,VF. OMU,527527,2021-02-06 00,5.5
215,VF. OMU,527527,2021-02-07 00,0
216,VF. OMU,527527,2021-02-08 00,0
